1.987284054301615699e+00,1.821627372516796406e+00
1.361881713633325441e+00,1.263363192194984164e+00
1.013087813008251459e+00,9.713312877278749147e-01
8.321138686500275661e-01,7.936543038642865922e-01
6.716965744826421947e-01,7.286499105343202665e-01
5.773321688216374037e-01,6.500704930212491961e-01
5.068178967495763354e-01,5.959588771774655402e-01
4.718344624405381715e-01,5.864599433345318857e-01
4.141884275660820958e-01,4.875424560640944649e-01
3.850920580030722795e-01,5.178039951794812801e-01
3.607062646342454881e-01,4.768094131870875274e-01
3.384415659025026835e-01,4.666938581839710776e-01
3.199054599508228125e-01,4.707133459801576825e-01
3.035779794940140497e-01,4.553079099071269398e-01
2.927378883511136953e-01,4.245888942899077034e-01
2.631764820937925742e-01,4.165451446898670307e-01
2.619076619520457339e-01,4.484457591223338091e-01
2.389676573424467654e-01,4.158711229322178404e-01
2.317420164856140996e-01,4.356975831479982797e-01
2.240701370684062554e-01,4.838707566328870335e-01
2.194929897291111875e-01,4.610200851885369322e-01
2.121808405065767067e-01,4.802578711523220467e-01
2.139333936700397176e-01,4.559787533788724478e-01
1.976877581131724626e-01,4.329898764960078972e-01
1.940171859010748623e-01,4.428231933827843636e-01
1.901197095380355306e-01,4.725409177391707294e-01
1.744588808717745243e-01,3.863676648223751675e-01
1.749351655509414627e-01,4.376602803363280891e-01
1.676670020032307862e-01,4.210979706212844564e-01
1.668063629642489165e-01,4.428384337853006891e-01
1.626950239341928284e-01,4.452481331941492426e-01
1.634944941737864199e-01,4.457198517325243192e-01
1.590393360943501144e-01,4.083188127025184633e-01
1.674518701395021070e-01,4.605828910069265647e-01
1.607650349683924229e-01,4.295695973260332257e-01
1.516953574493956347e-01,3.933500082063110526e-01
1.564534502598428634e-01,4.090307544840842136e-01
1.439618686912742251e-01,3.948524862595426121e-01
1.476756774429459074e-01,3.884260884830368910e-01
1.483164809436642306e-01,4.090467957344725569e-01
1.452605513700987727e-01,3.788176386534762297e-01
1.357366601724435684e-01,3.830004923147003471e-01
1.402664675979248543e-01,3.888663392691384946e-01
1.456998611893655093e-01,4.066585549699298641e-01
